movie_id,title,genre,language,duration,release_date
M0001,Entire traditional.,Drama,Malayalam,101,2020-09-27
M0002,Also.,Action,English,148,2023-04-24
M0003,Involve parent.,Romance,Tamil,177,2021-08-29
M0004,Kitchen.,Romance,Hindi,142,2021-10-29
M0005,East table.,Drama,Tamil,129,2024-03-14
M0006,Voice.,Action,English,119,2022-03-29
M0007,Since play.,Romance,Telugu,141,2024-06-17
M0008,Congress.,Sci-Fi,Kannada,148,2020-08-09
M0009,Behind bank.,Romance,Tamil,136,2023-11-16
M0010,Two want.,Comedy,English,124,2022-08-01
M0011,Deal seven.,Horror,Malayalam,177,2022-03-26
M0012,Check set.,Romance,Telugu,111,2020-09-02
M0013,Career buy.,Sci-Fi,Tamil,132,2020-12-13
M0014,Structure.,Romance,Kannada,137,2023-08-06
M0015,Effect week.,Romance,Tamil,121,2021-11-22
M0016,Few to.,Romance,Hindi,105,2025-04-01
M0017,There else.,Sci-Fi,English,112,2024-11-24
M0018,Fact.,Sci-Fi,Kannada,178,2023-04-13
M0019,Notice lot.,Action,Telugu,112,2024-02-25
M0020,Car.,Drama,Telugu,173,2023-11-04
M0021,Region.,Romance,Telugu,159,2021-06-19
M0022,Cup financial.,Romance,Tamil,178,2020-06-28
M0023,End she.,Drama,Telugu,102,2020-12-31
M0024,Leave answer.,Comedy,Malayalam,135,2023-11-19
M0025,Teacher.,Comedy,Malayalam,98,2021-11-07
M0026,Rich.,Horror,Kannada,175,2021-03-01
M0027,Produce.,Comedy,Tamil,127,2022-09-30
M0028,Red last.,Comedy,Malayalam,113,2022-10-21
M0029,Fear.,Sci-Fi,Telugu,117,2023-11-30
M0030,Federal.,Horror,Tamil,103,2022-12-10
M0031,Since kid.,Drama,English,156,2022-12-14
M0032,Remember billion.,Horror,Kannada,110,2024-11-02
M0033,Family shake.,Drama,Hindi,98,2025-05-11
M0034,Catch opportunity.,Drama,Hindi,149,2021-04-30
M0035,Today.,Action,Kannada,113,2022-05-24
M0036,Mission.,Drama,Telugu,132,2022-04-29
M0037,Interview.,Sci-Fi,Malayalam,94,2025-01-10
M0038,Thought.,Romance,Tamil,155,2022-04-24
M0039,Democrat activity.,Drama,English,128,2021-09-15
M0040,Beautiful.,Horror,English,130,2023-10-29
M0041,Fear.,Sci-Fi,Hindi,93,2023-01-12
M0042,Ever.,Action,Malayalam,140,2021-05-05
M0043,Store pick.,Horror,Kannada,112,2021-12-22
M0044,Important.,Sci-Fi,Hindi,122,2023-06-19
M0045,Nature.,Horror,English,161,2021-10-10
M0046,West.,Horror,English,164,2021-11-06
M0047,Off bit.,Horror,Kannada,160,2023-12-28
M0048,Huge above.,Action,English,102,2021-08-21
M0049,Here part.,Romance,Hindi,149,2023-08-24
M0050,Live whole.,Romance,Malayalam,133,2024-09-03
M0051,Others.,Horror,Telugu,178,2022-01-24
M0052,Seek season.,Romance,Telugu,90,2023-10-03
M0053,Very.,Romance,Malayalam,113,2021-08-20
M0054,Dream risk.,Sci-Fi,English,92,2024-07-21
M0055,System.,Sci-Fi,Kannada,109,2024-04-16
M0056,Kid big.,Comedy,Hindi,99,2022-04-18
M0057,Color game.,Comedy,English,130,2021-11-18
M0058,Speech decision.,Romance,Kannada,135,2022-11-07
M0059,Threat.,Sci-Fi,Kannada,177,2024-02-15
M0060,Heart.,Action,Malayalam,92,2024-03-06
M0061,Painting.,Romance,Malayalam,138,2024-04-17
M0062,Help.,Comedy,Kannada,137,2022-07-22
M0063,Toward.,Horror,English,103,2024-12-27
M0064,Box actually.,Drama,English,96,2024-10-04
M0065,Treat democratic.,Horror,Tamil,94,2024-05-31
M0066,Together.,Drama,English,128,2022-09-21
M0067,Effort not.,Romance,English,148,2021-07-20
M0068,Senior society.,Sci-Fi,Tamil,148,2024-01-08
M0069,Fact throughout.,Comedy,Kannada,103,2025-06-08
M0070,Dinner.,Horror,English,134,2020-06-28
M0071,Growth candidate.,Action,Tamil,127,2021-08-10
M0072,Act.,Romance,Tamil,122,2025-03-27
M0073,Ability each.,Action,English,97,2021-01-05
M0074,Choose against.,Sci-Fi,Hindi,136,2024-01-16
M0075,Offer market.,Comedy,English,152,2025-04-22
M0076,Rule.,Comedy,Kannada,114,2022-10-24
M0077,Significant teach.,Horror,English,140,2024-11-06
M0078,Agreement street.,Horror,Tamil,116,2024-03-31
M0079,Ten tend.,Sci-Fi,Malayalam,170,2022-12-19
M0080,Better later.,Action,Malayalam,102,2023-01-06
M0081,Business allow.,Comedy,Malayalam,123,2023-03-02
M0082,Law.,Action,English,129,2021-10-15
M0083,By.,Sci-Fi,Tamil,126,2024-05-09
M0084,Without ball.,Romance,Telugu,147,2024-12-15
M0085,Huge other.,Horror,Tamil,129,2021-11-07
M0086,Leader.,Action,Telugu,176,2021-03-10
M0087,Pressure senior.,Action,Malayalam,114,2020-06-29
M0088,Smile.,Horror,Hindi,148,2022-08-01
M0089,Subject.,Romance,Malayalam,171,2023-07-29
M0090,Also wish.,Comedy,Hindi,99,2024-09-15
M0091,Base.,Sci-Fi,Malayalam,118,2020-08-20
M0092,Age more.,Romance,Kannada,107,2023-02-17
M0093,Ask person.,Horror,Malayalam,166,2021-01-31
M0094,Fight let.,Drama,English,131,2021-10-07
M0095,Shake.,Drama,Telugu,108,2020-10-05
M0096,Me.,Comedy,English,167,2022-06-22
M0097,Decision front.,Drama,Hindi,112,2025-01-20
M0098,Individual already.,Romance,Malayalam,94,2022-09-04
M0099,What drug.,Drama,Malayalam,91,2020-11-13
M0100,Imagine.,Horror,English,124,2022-07-01
M0101,Method really.,Romance,Telugu,127,2023-05-05
M0102,Article part.,Action,English,167,2024-03-19
M0103,Data religious.,Action,English,131,2022-07-17
M0104,Direction question.,Comedy,Hindi,108,2023-03-22
M0105,Arm so.,Action,Hindi,142,2021-06-24
M0106,Operation family.,Comedy,Tamil,119,2024-08-05
M0107,Trial ready.,Drama,Telugu,97,2021-06-18
M0108,Wife thought.,Sci-Fi,Kannada,153,2024-12-20
M0109,Describe.,Horror,Hindi,136,2025-01-18
M0110,Everything know.,Drama,Telugu,147,2024-12-11
M0111,Appear central.,Drama,English,125,2022-02-23
M0112,Always out.,Sci-Fi,English,136,2022-06-18
M0113,Major without.,Sci-Fi,English,175,2023-01-06
M0114,Provide.,Drama,Hindi,116,2022-01-14
M0115,Answer loss.,Horror,Tamil,95,2023-06-01
M0116,Ten.,Romance,Kannada,178,2024-07-25
M0117,Serious.,Drama,Malayalam,169,2023-10-12
M0118,Region.,Sci-Fi,English,139,2025-04-30
M0119,Allow worker.,Drama,Kannada,145,2024-09-06
M0120,Camera.,Horror,Tamil,115,2024-04-26
M0121,Technology fish.,Action,Malayalam,118,2022-05-15
M0122,Investment young.,Sci-Fi,Malayalam,130,2023-07-24
M0123,Door.,Romance,Telugu,136,2023-11-28
M0124,Fast.,Sci-Fi,Malayalam,132,2024-03-16
M0125,Author would.,Comedy,Hindi,162,2021-12-03
M0126,Somebody.,Horror,English,145,2023-04-27
M0127,Material.,Drama,Tamil,137,2021-07-21
M0128,Letter.,Action,Tamil,172,2023-11-30
M0129,Early free.,Drama,English,98,2022-04-03
M0130,Leave.,Action,Malayalam,159,2022-01-29
M0131,Thousand few.,Romance,Malayalam,104,2021-06-06
M0132,Travel.,Horror,English,162,2024-10-09
M0133,Than doctor.,Drama,Hindi,113,2022-01-15
M0134,Discuss.,Romance,Malayalam,172,2020-10-24
M0135,Ask across.,Drama,Telugu,130,2020-10-17
M0136,Region.,Sci-Fi,Tamil,128,2020-07-21
M0137,Executive door.,Action,Malayalam,164,2021-05-09
M0138,Own market.,Action,Telugu,147,2021-05-04
M0139,Human.,Sci-Fi,Tamil,106,2021-11-02
M0140,Expect student.,Romance,Kannada,173,2021-11-13
M0141,Prepare.,Drama,Kannada,105,2022-08-01
M0142,Before brother.,Action,Telugu,94,2024-04-02
M0143,Deep.,Action,Hindi,90,2023-03-27
M0144,Open detail.,Action,English,149,2023-04-10
M0145,Establish real.,Horror,English,158,2023-12-22
M0146,Light.,Sci-Fi,Hindi,117,2022-12-06
M0147,Leader family.,Sci-Fi,Hindi,179,2023-10-08
M0148,Career their.,Comedy,Malayalam,108,2025-02-11
M0149,Line figure.,Action,Tamil,151,2024-04-09
M0150,Also stay.,Action,Tamil,180,2023-09-21
M0151,Its TV.,Sci-Fi,Malayalam,144,2022-01-31
M0152,Local say.,Drama,Hindi,120,2020-08-13
M0153,Attention measure.,Horror,Malayalam,98,2024-01-29
M0154,Institution.,Comedy,Hindi,179,2020-09-09
M0155,Much.,Comedy,Kannada,126,2021-09-15
M0156,Benefit.,Comedy,Kannada,150,2024-03-14
M0157,However.,Drama,English,170,2024-09-16
M0158,Industry.,Action,Kannada,93,2021-07-31
M0159,Man live.,Action,Malayalam,143,2024-08-25
M0160,Machine choice.,Action,Hindi,98,2022-11-06
M0161,Rise.,Romance,Tamil,151,2022-07-30
M0162,Foreign.,Comedy,English,157,2023-09-14
M0163,Create technology.,Sci-Fi,Kannada,105,2024-09-06
M0164,Some effort.,Comedy,Tamil,122,2023-07-17
M0165,Card soon.,Horror,English,175,2023-10-03
M0166,Ball.,Romance,Tamil,174,2024-02-04
M0167,Beat fly.,Comedy,Tamil,137,2022-07-14
M0168,Memory admit.,Drama,Telugu,169,2021-01-21
M0169,Remember.,Horror,Telugu,111,2025-06-02
M0170,Base.,Sci-Fi,Telugu,90,2021-12-02
M0171,Sure free.,Sci-Fi,Telugu,125,2020-10-02
M0172,Professor.,Romance,Telugu,115,2020-12-05
M0173,Brother prevent.,Sci-Fi,Tamil,175,2023-11-27
M0174,War security.,Sci-Fi,Hindi,165,2021-05-05
M0175,Artist.,Horror,Malayalam,100,2020-07-06
M0176,If.,Sci-Fi,Telugu,173,2022-02-14
M0177,Himself here.,Sci-Fi,Hindi,165,2023-07-22
M0178,Sister down.,Action,Hindi,180,2023-07-07
M0179,Certain energy.,Drama,English,152,2022-01-17
M0180,Up.,Horror,Hindi,127,2021-02-04
M0181,Do.,Comedy,English,119,2021-10-11
M0182,Onto happy.,Action,Kannada,98,2021-12-31
M0183,Pull note.,Action,English,149,2023-04-12
M0184,Today.,Romance,Tamil,144,2021-01-18
M0185,Play.,Comedy,Hindi,147,2022-02-27
M0186,Help lawyer.,Romance,Telugu,165,2025-04-05
M0187,Shoulder brother.,Romance,Malayalam,156,2025-02-10
M0188,Too trial.,Romance,Malayalam,180,2022-09-11
M0189,International marriage.,Horror,Kannada,162,2023-02-26
M0190,Beautiful.,Comedy,Telugu,158,2020-08-25
M0191,Body.,Romance,Hindi,134,2025-04-15
M0192,Turn there.,Drama,Kannada,171,2021-01-21
M0193,Rise.,Sci-Fi,Kannada,175,2023-04-04
M0194,Someone difference.,Romance,Telugu,111,2022-03-13
M0195,Something interest.,Romance,Telugu,128,2021-08-28
M0196,Congress movie.,Romance,Malayalam,171,2021-10-17
M0197,Once capital.,Sci-Fi,Kannada,166,2023-12-18
