show_id,theater_id,movie_id,screen_no,show_time
S000001,T0001,M0139,5,2025-06-20T10:00:00
S000002,T0001,M0258,4,2025-06-29T19:00:00
S000003,T0001,M0376,3,2025-06-28T19:00:00
S000004,T0001,M0098,5,2025-06-21T10:00:00
S000005,T0001,M0022,1,2025-06-25T16:00:00
S000006,T0001,M0474,4,2025-06-24T22:00:00
S000007,T0001,M0202,2,2025-06-25T13:00:00
S000008,T0001,M0402,1,2025-06-22T19:00:00
S000009,T0001,M0226,4,2025-06-20T16:00:00
S000010,T0001,M0034,5,2025-06-27T10:00:00
S000011,T0001,M0218,2,2025-06-21T13:00:00
S000012,T0001,M0334,1,2025-06-21T10:00:00
S000013,T0001,M0296,3,2025-06-24T10:00:00
S000014,T0001,M0374,2,2025-06-21T19:00:00
S000015,T0001,M0097,4,2025-06-22T22:00:00
S000016,T0001,M0252,3,2025-06-21T10:00:00
S000017,T0001,M0426,5,2025-06-26T13:00:00
S000018,T0001,M0189,2,2025-06-27T13:00:00
S000019,T0001,M0272,1,2025-06-29T22:00:00
S000020,T0001,M0303,1,2025-06-28T19:00:00
S000021,T0001,M0008,4,2025-06-24T13:00:00
S000022,T0001,M0489,5,2025-06-21T22:00:00
S000023,T0001,M0200,1,2025-06-23T10:00:00
S000024,T0001,M0153,3,2025-06-29T13:00:00
S000025,T0001,M0376,2,2025-06-30T10:00:00
S000026,T0001,M0424,5,2025-06-22T19:00:00
S000027,T0001,M0266,1,2025-06-20T16:00:00
S000028,T0001,M0029,3,2025-06-20T16:00:00
S000029,T0001,M0008,3,2025-06-28T13:00:00
S000030,T0001,M0372,5,2025-06-29T22:00:00
S000031,T0001,M0299,5,2025-06-29T13:00:00
S000032,T0001,M0131,3,2025-06-25T10:00:00
S000033,T0001,M0412,2,2025-06-28T16:00:00
S000034,T0001,M0169,1,2025-06-30T10:00:00
S000035,T0001,M0409,3,2025-06-29T16:00:00
S000036,T0001,M0187,1,2025-06-29T10:00:00
